track_name,artist_name,genre,popularity,danceability,energy,loudness,tempo,valence,acousticness,duration_ms
My Time's Comin',A Thousand Horses,Country,45,0.327,0.835,-4.952,171.795,0.385,0.00192,194107
House Tour,Mark Mothersbaugh,Soundtrack,25,0.253,0.0798,-18.512,110.931,0.0487,0.932,102920
We Can't Fall (Remix) [feat. J. Patz],Unified Highway,Reggae,19,0.821,0.737,-6.295,137.968,0.787,0.0331,225437
Endz - Original Mix,Stooki Sound,Electronic,29,0.745,0.772,-3.949,133.113,0.17,0.00428,225400
I Love My Job (Live),Bill Hicks,Comedy,17,0.502,0.804,-9.935,104.576,0.185,0.965,287973
How Much Is That Doggy In The Window?,Sugar Kane Music,Children's Music,16,0.787,0.224,-9.607,146.054,0.657,0.715,133787
Morning Light,Justin Timberlake,Pop,63,0.62,0.497,-9.585,155.908,0.55,0.382,243040
Chunk Up the Deuce (feat. U.G.K. & Paul Wall),Lil Keke,Hip-Hop,51,0.929,0.61,-6.064,136.081,0.868,0.0298,299733
Get Up,Cole Swindell,Country,41,0.57,0.715,-3.399,148.032,0.831,0.0709,161040
Something About You - ODESZA Remix,Hayden James,Soul,65,0.709,0.669,-8.422,105.004,0.106,0.0216,343800
Wash Yo' Ass,Martin Lawrence,Comedy,18,0.648,0.414,-20.418,88.283,0.524,0.66,72800
Where Have You Been - Live,Reel Big Fish,Ska,19,0.529,0.643,-7.51,96.536,0.664,0.167,450093
teddy bear,Ayumi Hamasaki,Anime,27,0.543,0.339,-8.523,110.981,0.367,0.938,258100
Tied Up,LEISURE,R&B,20,0.807,0.594,-7.945,130.086,0.83,0.175,185173
East Bay Night - Acoustic,Rancid,Ska,27,0.631,0.66,-7.478,97.159,0.614,0.8,127227
Veins,Palace,Soul,47,0.429,0.273,-9.719,110.161,0.112,0.349,269975
Handel: Rodelinda: Ritorna o caro,Dame Joan Sutherland,Opera,10,0.249,0.257,-15.19,79.599,0.115,0.963,284173
Pimper's Paradise,Bob Marley & The Wailers,Reggae,65,0.939,0.642,-8.189,134.709,0.967,0.00499,207773
Basic,Sigrid,Dance,0,0.674,0.531,-6.941,129.939,0.17,0.121,217743
Parking Lot,HUNNY,Rock,51,0.498,0.844,-5.163,103.97,0.469,0.00303,205937
Sufferin' In The Land,Jimmy Cliff,Ska,21,0.873,0.391,-15.117,119.628,0.982,0.145,191533
Earth Alert,Richie Spice,Reggae,0,0.81,0.44,-7.745,142.543,0.706,0.134,261787
I Know What I Have To Do,Jeff Beal,Soundtrack,35,0.236,0.117,-23.925,70.196,0.071,0.949,163853
A Steep But Beautiful Climb,Randy Edelman,Soundtrack,31,0.34,0.134,-16.512,81.047,0.198,0.987,153813
Wonder,Natalie Merchant,Folk,53,0.719,0.739,-5.577,115.142,0.603,0.346,266008
Tactics - Remastered,THE YELLOW MONKEY,Anime,29,0.523,0.96,-3.532,117.168,0.675,0.00305,268160
Terror,8 Kalacas,Ska,19,0.307,0.978,-6.321,143.482,0.81,4.58e-06,169053
Knife Prty,Deftones,Rock,55,0.295,0.883,-3.897,74.483,0.118,0.00025,289200
Self Reliance,Demarco,Reggae,33,0.553,0.733,-6.654,124.185,0.281,0.0341,207835
Everything Is Alright,Motion City Soundtrack,Pop,64,0.435,0.95,-3.869,160.987,0.457,0.000494,207634
Gringo Honeymoon,Robert Earl Keen,Country,38,0.503,0.614,-10.875,108.631,0.493,0.156,293387
Your Biggest Fan,Never Shout Never,Children’s Music,46,0.738,0.308,-7.242,124.979,0.531,0.944,210667
Just Sayin/I Tried,The Internet,Alternative,50,0.489,0.506,-10.251,95.528,0.431,0.427,413587
Stone Rollin',Raphael Saadiq,Soul,35,0.66,0.806,-4.495,99.987,0.75,0.00404,216307
Modern Slavery,Huncho Jack,Rap,68,0.737,0.737,-3.72,134.066,0.5,0.00158,148560
You Won't See Me,Music For Little People Choir,Children's Music,0,0.701,0.739,-6.547,120.004,0.687,0.0729,274267
Restless,Jinsang,R&B,44,0.737,0.259,-18.901,149.106,0.42,0.506,90187
Here I Am To Worship - Live,Passion,World,30,0.367,0.496,-9.038,76.069,0.197,0.0996,291627
show me,San Holo,Electronic,61,0.474,0.731,-5.582,135.056,0.0876,0.235,341476
3 Gymnopedies (orch. Debussy): Gymnopedie No. 2,Erik Satie,Classical,43,0.092,0.0239,-31.457,67.289,0.0541,0.936,221000
Let Go Today,Shoffy,R&B,61,0.84,0.193,-11.186,99.99,0.204,0.182,182400
My Way (A Mi Manera),Robin Williams,Comedy,39,0.475,0.795,-5.005,95.518,0.412,0.375,104573
Monster Hunter,Capcom Sound Team,Anime,21,0.294,0.652,-5.36,76.006,0.212,0.706,184120
Deep Love,Lady Lamb,Indie,45,0.496,0.469,-6.619,137.833,0.259,0.366,237680
Lohengrin: Prelude to Act 1,Richard Wagner,Opera,13,0.0942,0.0341,-26.675,84.676,0.0288,0.92,589000
Santa Baby,Kellie Pickler,Country,38,0.705,0.44,-4.452,86.008,0.453,0.486,207200
The Road of Trials,Austin Wintory,Soundtrack,44,0.34,0.386,-16.785,151.964,0.234,0.889,256819
Suburban War,Arcade Fire,Indie,49,0.313,0.853,-5.812,119.955,0.579,0.0935,285133
Never in My Wildest Dreams,Dan Auerbach,Folk,67,0.559,0.466,-6.769,117.21,0.623,0.315,176027
La chanson de Bambi,Jean Claude Corbel,Movie,0,0.557,0.247,-12.371,109.603,0.276,0.801,63023
Vodka & Cigarettes,Mike Baldwin,Comedy,16,0.446,0.69,-13.451,85.848,0.298,0.712,175852
Hice It Up,Lady Saw,Reggae,38,0.797,0.523,-9.817,93.909,0.653,0.561,197600
Chrome Country,Oneohtrix Point Never,Electronic,48,0.378,0.318,-8.58,121.904,0.0382,0.123,305287
Fiction Dawn,Deaf Center,Jazz,45,0.448,0.00827,-27.805,104.538,0.54,0.995,152160
I Love to Travel,Nathan Lane,Movie,10,0.69,0.418,-8.028,100.596,0.584,0.639,243267
The Princess Appears,John Williams,Soundtrack,34,0.185,0.0599,-27.514,77.707,0.0393,0.956,247493
UEHARA -FUTOSHI-,MAXIMUM THE HORMONE,Anime,22,0.281,0.984,-3.897,139.402,0.249,0.000889,156373
破滅のオレンジ,"Kami-sama, I have noticed",Anime,39,0.623,0.952,-4.83,134.966,0.39,0.0515,211507
Uh Uh,Blac Youngsta,Rap,62,0.903,0.647,-9.612,142.963,0.817,0.000385,163400
It Is Finished - Live,Passion,Children’s Music,51,0.357,0.556,-7.43,148.01,0.191,0.235,327587
Hiding Place,Jordan Rakei,Jazz,53,0.645,0.452,-8.305,140.028,0.272,0.465,226509
The Crypt,Philip Glass,World,31,0.153,0.0459,-25.249,102.788,0.0402,0.974,77173
Need You,Dillon Francis,Electronic,53,0.721,0.925,-3.208,111.961,0.37,0.00171,197442
I Just Wanna (feat. Mac Miller),Chief Keef,Hip-Hop,48,0.654,0.526,-7.591,120.019,0.384,0.0332,317846
Call Me,Pink Sweat$,R&B,64,0.726,0.375,-8.295,106.854,0.762,0.636,101500
Wild Horses,The Flying Burrito Brothers,Rock,56,0.525,0.391,-12.166,130.443,0.27,0.15,380467
"Prairie Dogs, Sweet Soap",Todd Barry,Comedy,20,0.561,0.701,-14.806,81.994,0.423,0.857,152120
Victoria's Secret,Jeff Foxworthy,Comedy,21,0.543,0.892,-9.395,95.459,0.171,0.775,243333
Sometimes Enough,The Black Seeds,Ska,17,0.798,0.765,-7.299,99.047,0.626,0.00377,286013
Who Do You Think You Are?,Lake Street Dive,Folk,45,0.675,0.777,-4.699,105.022,0.507,0.175,288118
Beneath The Dunes,Real Estate,Folk,45,0.523,0.894,-6.467,140.735,0.842,0.0607,227280
I'll Be Around,Russ Freeman,Jazz,33,0.765,0.699,-7.529,110.414,0.633,0.07,246400
Pimp Juice,Nelly,Dance,50,0.81,0.649,-9.094,74.383,0.59,0.199,292160
"Theme - From ""Jurassic Park""",John Williams,Soundtrack,36,0.0969,0.227,-15.471,62.992,0.0675,0.784,361627
